# MAE takes the multiplication factor of 2 for avg(|(Target)-(Reconstrcted)|)
Airfoil_name,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,MAE
AH 81-K-144 W-F KLAPPE,1,0,0,0,0,0,0,0,0,0,0,0,0
AH 93-W-480B,0,1,0,0,0,0,0,0,0,0,0,0,0
CHEN AIRFOIL,0,0,1,0,0,0,0,0,0,0,0,0,0
E195  (11.82%),0,0,0,1,0,0,0,0,0,0,0,0,0
EPPLER 664 (EXTENDED) AIRFOIL,0,0,0,0,1,0,0,0,0,0,0,0,0
EPPLER 864 STRUT AIRFOIL,0,0,0,0,0,1,0,0,0,0,0,0,0
FX 79-W-660A,0,0,0,0,0,0,1,0,0,0,0,0,0
GOE 531 AIRFOIL,0,0,0,0,0,0,0,1,0,0,0,0,0
Griffith 30% Suction Airfoil,0,0,0,0,0,0,0,0,1,0,0,0,0
RONCZ R1145MS MAIN ELEMENT,0,0,0,0,0,0,0,0,0,1,0,0,0
S9104,0,0,0,0,0,0,0,0,0,0,1,0,0
E174  (Dicke 8.92%),0.003622,0.001389,0.058767,0.987253,0.002722,-0.067069,-0.024698,0.016573,-0.000839,0.016667,0.003511,0.002102,0.000821412
GOE 683 AIRFOIL,0.110053,0.001678,0.252922,0.363403,-0.000127,0.216979,0.009826,0.169279,0.021228,0.02336,-0.182771,0.014171,0.00082208
E182 (8.47%),0.060318,0.02274,0.04809,1.15232,-0.005721,-0.097528,-0.02994,-0.06413,-0.016903,0.005719,-0.101414,0.026448,0.000832706
MH 60  10.08%,0.156891,0.023203,0.054973,1.012993,0.002533,-0.071486,-0.034488,-0.038528,0.00144,-0.008917,-0.094572,-0.004042,0.0008342
GOE 124 (MVA H.4) AIRFOIL,0.046079,0.047294,0.184971,0.808656,0.026557,-0.16457,-0.03375,0.091968,0.00156,-0.008082,0.002513,-0.003194,0.000843488
PSU 94-097 (AIAA 2001-2478),0.034942,0.016315,-0.027021,1.015613,0.016432,-0.138582,0.001904,-0.013092,0.048065,-0.004998,0.080637,-0.030215,0.00084965
S2027,0.003391,-0.002993,0.043647,0.85693,0.013256,0.103942,-0.012747,-0.043498,0.051977,-0.024879,0.029666,-0.018692,0.000850518
GOE 624 AIRFOIL,0.041314,0.005251,0.199292,0.422037,0.033497,0.078767,0.00617,0.135114,0.059859,0.001145,0.016126,0.001429,0.000856234
EPPLER 862 STRUT AIRFOIL,0.165927,-0.041658,-0.018596,0.176443,-0.00192,0.75544,0.019014,-0.04623,-0.025836,-0.007291,0.024385,0.000321,0.000856664
RAF 34 AIRFOIL,0.059252,0.000071,0.14281,0.881446,-0.017094,0.000226,0.004193,-0.035461,0.021728,0.013878,-0.090039,0.018989,0.000864256
MH 106  13.07%,0.145331,0.014142,0.076514,0.945165,-0.002506,0.059858,-0.019186,-0.118049,-0.048379,0.015707,-0.11701,0.048413,0.000878366
FX 84-W-127,-0.016468,-0.000214,0.052159,0.831175,0.00262,-0.012175,-0.008377,0.052944,0.102107,-0.005841,0.016284,-0.014214,0.000878988
BW 05 02 09,0.080031,0.000079,0.178405,1.033855,0.000506,-0.135333,0.017888,-0.086109,-0.023138,0.015978,-0.159415,0.077252,0.00088766
GOE 184 (MVA H.29) AIRFOIL,0.127625,0.023114,0.194653,0.721986,0.025659,-0.179506,-0.014181,0.114681,-0.024744,0.028938,-0.014903,-0.003324,0.000890906
RAF 38 AIRFOIL,0.030894,-0.000002,0.044473,0.908655,-0.001231,-0.003504,0.008419,-0.024874,0.020886,0.021695,-0.01391,0.008499,0.00090204
GEMINI (smoothed),0.02998,-0.000997,0.016634,0.837325,0.018501,0.026467,0.031543,-0.041042,0.052383,0.031921,0.001706,-0.004422,0.000902274
E180  (8.59%),0.033648,0.012693,0.04567,1.1329,-0.005381,-0.093484,-0.014653,-0.070108,-0.0266,0.007042,-0.051631,0.029904,0.000906502
MH 43  8.5%,0.093248,0.028147,0.008404,1.149816,0.000689,-0.115786,-0.027572,-0.087669,-0.022148,0.022836,-0.055273,0.005309,0.000906758
RAF-48 AIRFOIL,0.064948,0.00043,0.111781,0.694252,0.004202,0.059686,0.003931,0.033015,0.054359,0.002733,-0.040003,0.010665,0.000909992
GOE 396 AIRFOIL,0.014078,0.000998,0.129463,0.980786,-0.011358,-0.292185,0.018716,0.090444,-0.010078,0.007116,0.007084,0.064935,0.000910408
NACA 63-415 AIRFOIL,-0.038243,0.00229,-0.087117,1.001156,0.019774,0.110771,-0.017818,-0.089559,0.072405,0.000004,0.088297,-0.061961,0.000920384
EPPLER 1213 AIRFOIL,0.367006,0.028898,0.124737,0.368302,0.025031,0.157049,-0.052315,-0.00933,-0.009627,0.013894,-0.052307,0.038661,0.000925808
GOE 370 AIRFOIL,0.014337,0.033261,0.12285,0.988485,-0.004673,-0.288956,-0.008274,0.109479,-0.022907,0.021166,-0.003897,0.039129,0.000926992
GOE 587 AIRFOIL,0.016999,-0.000947,0.149294,1.132123,-0.001242,-0.288667,0.030719,-0.078793,-0.004509,0.057223,-0.066061,0.053862,0.000928224
S4310,0.029555,0.026086,0.093401,0.853232,0.016664,-0.039218,-0.031072,0.056893,0.03551,-0.01848,-0.01808,-0.004491,0.000933006
GOE 290 (MVA 290) AIRFOIL,0.088279,0.008864,0.144756,0.467623,0.019635,0.159707,0.004658,0.049242,0.00329,0.012513,0.010712,0.03072,0.000934174
EPPLER 421 AIRFOIL,-0.027245,0.015821,0.257932,0.171401,0.046442,0.164868,-0.031696,0.210945,-0.030075,-0.027246,0.114399,0.134454,0.000935624
NACA M13 AIRFOIL,0.023927,0.00001,0.187074,1.017285,0.001521,-0.254378,0.025977,-0.030055,-0.017736,0.036723,-0.036432,0.046085,0.000938626
EPPLER E854 AIRFOIL,-0.082167,0.00245,-0.147954,1.135429,0.004577,0.063043,0.010284,-0.104845,0.00379,-0.006597,0.169667,-0.047677,0.000940816
EPPLER 1214 AIRFOIL,0.302624,0.016909,0.131444,0.331016,0.037036,0.266837,-0.043163,-0.003801,-0.016686,0.002829,-0.059305,0.034259,0.000947504
Legionair 140 (digitized and smoothed by MSelig),0.048282,0.017965,0.138713,1.036698,0.004913,-0.153002,0.00975,-0.068935,-0.027644,0.002316,-0.02747,0.018416,0.000951356
GOE 529 AIRFOIL,0.007021,-0.000877,0.239049,0.682641,0.010809,-0.092164,0.00116,0.110989,0.011781,-0.004922,0.016684,0.017829,0.000963034
FX 84-W-140,-0.052851,0.002934,0.056355,0.741624,0.007418,0.023238,-0.011852,0.077642,0.139491,-0.008871,0.041247,-0.016374,0.000965334
GOE 362 AIRFOIL,0.139611,0.027609,0.138351,0.910289,0.013155,-0.243781,-0.017922,0.083107,-0.016194,-0.015184,0.031348,-0.050389,0.00096612
NACA M6 AIRFOIL,0.077061,0.022419,0.183243,0.82663,-0.004653,-0.094627,0.013687,-0.024996,0.038083,0.039142,-0.107417,0.031428,0.000966726
EPPLER E853 AIRFOIL,-0.037516,-0.000597,-0.212306,1.256649,0.005729,-0.041822,0.018005,-0.101607,0.023104,0.000812,0.159946,-0.070396,0.00096713
GOE 447 AIRFOIL,-0.015459,-0.000625,0.16666,0.432122,0.014554,-0.061994,0.020719,0.33652,0.061136,0.002205,0.044287,-0.000126,0.000967434
E423,-0.041533,0.004847,0.135999,0.259605,0.067772,0.026701,-0.00297,0.269595,0.00778,-0.014667,0.209084,0.077787,0.000971274
B-29 TIP AIRFOIL,0.04178,-0.002137,0.123213,1.044133,-0.004624,-0.126373,0.01102,-0.071575,0.001326,0.010779,-0.102548,0.075006,0.000973434
MH 116  9.84%,0.044867,0.031548,-0.063666,0.980625,0.033371,-0.119316,-0.013394,0.003246,0.021402,0.024908,0.082408,-0.025999,0.000978186
S4094 (root airfoil designed for and used on the E-flite UMX ASK-21 scale RC sailplane),0.099672,0.180686,0.068038,1.013703,0.012636,-0.142302,-0.083988,-0.121984,-0.038122,0.015526,-0.008771,0.004908,0.000979332
GOE 335 (D.F.W.) AIRFOIL,0.106913,0.014376,0.191177,0.864922,0.015679,-0.263979,0.008273,0.028862,0.002858,0.016147,0.019269,-0.004495,0.000980414
GOE 682 AIRFOIL,0.13943,0.008308,0.085691,0.752697,0.026133,-0.12928,0.005461,0.08834,0.007331,0.042517,0.035944,-0.062573,0.000987154
GOE 328 AIRFOIL,0.060211,0.00989,0.166257,0.925121,-0.011634,-0.201861,0.015927,0.024586,0.002444,0.016543,0.025433,-0.032918,0.000991074
GOE 596 AIRFOIL,0.068964,0.035526,0.129256,0.869745,0.008902,-0.121109,-0.016962,0.027401,0.008727,0.010261,-0.0124,-0.008311,0.000991816
GOE 426 AIRFOIL,-0.06143,-0.005782,0.112599,0.803917,-0.032017,0.097478,-0.005009,0.014356,0.032139,-0.053776,0.110445,-0.012921,0.00099322
TsAGI 8% AIRFOIL,0.086293,0.027272,0.050428,1.197426,0.001087,-0.212747,0.008318,-0.129002,-0.009495,0.044634,-0.07874,0.014528,0.000993292
NACA M18 AIRFOIL,0.016422,-0.001671,0.325116,0.621288,-0.008547,-0.068304,0.019923,0.06703,0.048013,0.025599,-0.104465,0.059596,0.000995376
E186  (10.27%),0.095308,-0.001514,0.1404,1.048275,-0.00937,-0.045849,-0.006679,-0.077288,-0.029458,-0.000448,-0.164318,0.050941,0.001001862
GOE 264 AIRFOIL,0.037011,0.025057,0.295347,0.738353,0.001156,-0.269054,0.005872,0.026199,0.014298,0.02977,0.096475,-0.000483,0.001003404
K3311 (smoothed),0.013104,-0.00157,0.003111,1.03931,0.010363,-0.045186,0.013845,-0.037028,-0.014788,-0.000346,0.035282,-0.016096,0.001005424
NACA 63(2)-615,-0.080609,0.004865,-0.081047,0.933429,0.023514,0.112227,-0.017758,-0.090495,0.100953,-0.021248,0.164883,-0.048715,0.00100681
AQUILA 9.3% smoothed,0.062881,0.010121,0.188076,0.877261,0.030873,-0.143089,0.000321,0.01404,0.016927,-0.003904,-0.02958,-0.023928,0.00101127
GOE 446 AIRFOIL,-0.005936,-0.001645,0.10829,0.609411,0.006248,-0.074922,0.037189,0.181584,0.052931,0.016394,0.113308,-0.042851,0.00101537
SD5060 (9.5%),0.178892,0.028277,-0.032881,1.02514,0.002267,-0.124008,-0.027835,-0.042412,0.005069,0.015526,-0.005515,-0.022518,0.001017108
MH 38  9.68%,-0.001602,0.001399,-0.004756,0.983193,0.00731,-0.034217,-0.025455,0.057895,-0.008314,0.028821,0.004849,-0.009123,0.001022226
FX 66-H-80,0.060902,0.040184,0.287097,1.001674,-0.014913,-0.10701,-0.039215,-0.134346,-0.037646,0.001003,-0.105806,0.048076,0.001022542
GOE 425 AIRFOIL,-0.085366,-0.001999,0.143085,0.730218,-0.005493,0.205977,-0.00886,0.090302,-0.005838,-0.054416,0.004492,-0.012101,0.00102406
AG55,0.204397,0.05725,0.004825,1.162426,0.000638,-0.261412,-0.031032,-0.111159,-0.01008,0.021158,-0.009607,-0.027403,0.00102445
GOE 332 (PFALZ 61) AIRFOIL,-0.022557,-0.000015,0.201967,0.611329,0.022506,-0.066267,0.024802,0.137962,0.025471,0.001875,0.08558,-0.022653,0.001025266
K3311  (original),0.009822,0.000069,0.010184,1.026234,0.010271,-0.046809,0.01254,-0.046927,-0.006989,-0.002187,0.044578,-0.010787,0.001026356
EPPLER 552 AIRFOIL,-0.165952,0.003896,-0.055335,0.956163,0.023834,0.364664,-0.035444,-0.121085,-0.011097,-0.040098,0.130486,-0.050032,0.00102636
